"Model","battery_mah","ram","storage","lunch_year","used_month","battery_health","price"
"iPhone 8 Plus","2691","3","64","2017","98","68","3483"
"iPhone 12","2815","4","64","2020","61","57","28771"
"iPhone 14 Pro","3200","6","128","2022","38","79","64254"
"iPhone 11 Pro Max","3969","4","64","2019","74","81","41924"
"iPhone 16 Pro Max","4685","8","256","2024","14","98","142915"
"iPhone 13 Pro Max","4352","6","128","2021","50","85","53792"
"iPhone 6","1810","1","16","2014","134","91","3969"
"iPhone SE (1st gen)","1624","2","16","2016","116","73","1929"
"iPhone 5c","1507","1","8","2013","146","65","2657"
"iPhone 14 Pro","3200","6","128","2022","38","65","61505"
"iPhone 15 Pro","3343","8","128","2023","26","52","52742"
"iPhone 13 Pro Max","4352","6","128","2021","50","87","57254"
"iPhone 16","3561","8","128","2024","14","89","83040"
"iPhone 14 Pro","3200","6","128","2022","38","75","62437"
"iPhone 6s Plus","2750","2","16","2015","122","52","2362"
"iPhone 12","2815","4","64","2020","61","94","43594"
"iPhone 13 mini","2438","4","128","2021","50","91","52579"
"iPhone 6","1810","1","16","2014","134","63","3106"
"iPhone 6 Plus","2915","1","16","2014","134","64","3257"
"iPhone 8","1821","2","64","2017","98","97","13059"
"iPhone 7 Plus","2900","3","32","2016","110","88","4766"
"iPhone 14 Plus","4325","6","128","2022","37","84","68177"
"iPhone 15","3349","6","128","2023","26","99","73279"
"iPhone 11","3110","4","64","2019","74","89","27115"
"iPhone XS Max","3174","4","64","2018","86","83","26938"
"iPhone 15","3349","6","128","2023","26","53","44311"
"iPhone X","2716","3","64","2017","96","75","5231"
"iPhone 15 Plus","4395","6","128","2023","26","93","88657"
"iPhone 7 Plus","2900","3","32","2016","110","93","4986"
"iPhone 13","3227","4","128","2021","50","99","58734"
"iPhone X","2716","3","64","2017","96","54","3900"
"iPhone 16 Plus","4674","8","128","2024","14","83","85748"
"iPhone XS Max","3174","4","64","2018","86","51","15735"
"iPhone 15 Pro","3343","8","128","2023","26","73","63761"
"iPhone 14","3279","6","128","2022","38","61","40295"
"iPhone 14 Plus","4325","6","128","2022","37","64","47697"
"iPhone 14","3279","6","128","2022","38","60","40374"
"iPhone 16 Pro Max","4685","8","256","2024","14","75","106552"
"iPhone SE (1st gen)","1624","2","16","2016","116","61","1532"
"iPhone 6 Plus","2915","1","16","2014","134","77","3971"
"iPhone 13 Pro","3095","6","128","2021","50","70","44701"
"iPhone 11 Pro","3046","4","64","2019","74","75","33749"
"iPhone 16 Pro Max","4685","8","256","2024","14","65","93567"
"iPhone 14 Pro Max","4323","6","128","2022","38","87","77108"
"iPhone 6 Plus","2915","1","16","2014","134","59","3165"
"iPhone 14 Pro Max","4323","6","128","2022","38","72","60736"
"iPhone 8","1821","2","64","2017","98","84","4507"
"iPhone 16 Pro","3582","8","128","2024","14","51","57197"
"iPhone 5c","1507","1","8","2013","146","79","3130"
"iPhone 8","1821","2","64","2017","98","88","13717"
"iPhone 12 Pro","2815","6","128","2020","61","73","28545"
"iPhone 15","3349","6","128","2023","26","63","47245"
"iPhone 12 Pro","2815","6","128","2020","61","95","45201"
"iPhone 16 Pro Max","4685","8","256","2024","14","75","104743"
